Typ podmiotu;Kod UKNF;Nazwa podmiotu;NIP;KRS;LEI;Ulica;Numer budynku;Numer lokalu;Kod pocztowy;Miejscowość;Telefon;E-mail;Numer wpisu do rejestru UKNF;Status podmiotu;Kategoria podmiotu;Podmiot transgraniczny
Podmioty DORA;UPN1000038391;mBank Spółka Akcyjna;5260215088;0000025237;259400DZXF7UJKK2AY35;UL. PROSTA;18;;00-850;Warszawa;+48222222222;test@test.pl;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000036482;SANTANDER CONSUMER BANK SPÓŁKA AKCYJNA;5272046102;0000040562;549300PXHEWNAGPV0398;UL. LEGNICKA;48 B;;54-202;WROCŁAW;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000038785;BNP PARIBAS BANK POLSKA SPÓŁKA AKCYJNA;5261008546;0000011571;NMH2KF074RKAGTH4CM63;UL. MARCINA KASPRZAKA;2;;01-211;Warszawa;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000035488;ABS BANK SPÓŁDZIELCZY;5510014311;0000124716;259400M5PYXTOBEZ5D78;UL. KRAKOWSKA;112;;34-120;Andrychów;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000060468;BANK MILLENNIUM SPÓŁKA AKCYJNA;5260212931;0000010186;259400OFDZ9KPZEO8K78;UL. STANISŁAWA ŻARYNA;2A;;02-593;Warszawa;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000060110;MAZOVIA BANK SPÓŁDZIELCZY;1230005183;0000073346;259400A8WSOCKAXELC26;UL. PIJARSKA;25;;05-530;Góra Kalwaria;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000035381;BANK POCZTOWY SPÓŁKA AKCYJNA;5540314271;0000010821;259400DAAAR5M4A6SI23;UL. JAGIELLOŃSKA;17;;85-959;Bydgoszcz;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000024045;VELOBANK SPÓŁKA AKCYJNA;7011105189;0000991173;2594000ZNGGQZXZKXH36;RONDO IGNACEGO DASZYŃSKIEGO;2C;;00-843;Warszawa;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000035403;BANK SPÓŁDZIELCZY W SKOCZOWIE;5480077004;0000085240;259400DJGT5UJ9309W49;UL. OBJAZDOWA;10;;43-430;Skoczów;;;;Wpisany;instytucje kredytowe;0
Podmioty DORA;UPN1000046999;BANK POLSKA KASA OPIEKI - SPÓŁKA AKCYJNA;5260006841;0000014843;5493000LKS7B3UTF7H35;UL. ŻUBRA;1;;01-066;Warszawa;;;;Wpisany;instytucje kredytowe;0
Instytucja Pożyczkowa (RIP);UPN1000001579;MERCEDES-BENZ FINANCIAL SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;5223155133;0000777243;;UL. GOTTLIEBA DAIMLERA;1;;02-460;Warszawa;;;RIP000624;Wpisany;;0
Instytucja Pożyczkowa (RIP);UPN1000056250;SWISS CREDIT SUPPORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;5833177937;0000552023;;Aleja Grunwaldzka;82;;80-244;Gdańsk;;;RIP000623;Wpisany;;0
Instytucja Pożyczkowa (RIP);UPN1000057598;ZWW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;8992830593;0000698437;;UL. JURIJA GAGARINA;4;;54-620;Wrocław;;;RIP000622;Wpisany;;0
